Figure of merit results from optimization:
2019-03-07 20:12:21, SI=1, It_no=0, Feval_no=1, FOM=0.0
2019-03-07 20:12:23, SI=1, It_no=0, Feval_no=2, FOM=0.11545955894002825
2019-03-07 20:12:25, SI=1, It_no=0, Feval_no=3, FOM=0.14885016116501723
2019-03-07 20:12:27, SI=1, It_no=0, Feval_no=4, FOM=0.07294509105904859
2019-03-07 20:12:29, SI=1, It_no=0, Feval_no=5, FOM=0.11356915736251075
2019-03-07 20:12:31, SI=1, It_no=1, Feval_no=6, FOM=0.1311111401287773
2019-03-07 20:12:32, SI=1, It_no=2, Feval_no=7, FOM=0.12546359144714508
2019-03-07 20:12:34, SI=1, It_no=3, Feval_no=8, FOM=0.1783961862376782
2019-03-07 20:12:36, SI=1, It_no=3, Feval_no=9, FOM=0.27886777813296215
2019-03-07 20:12:38, SI=1, It_no=4, Feval_no=10, FOM=0.27723119629116727
2019-03-07 20:12:40, SI=1, It_no=5, Feval_no=11, FOM=0.28531035086282064
2019-03-07 20:12:42, SI=1, It_no=5, Feval_no=12, FOM=0.39184680643325653
2019-03-07 20:12:44, SI=1, It_no=6, Feval_no=13, FOM=0.5194496122884139
2019-03-07 20:12:46, SI=1, It_no=6, Feval_no=14, FOM=0.6576645534807566
2019-03-07 20:12:48, SI=1, It_no=7, Feval_no=15, FOM=0.5902770531646105
2019-03-07 20:12:49, SI=1, It_no=8, Feval_no=16, FOM=0.5761751980594714
2019-03-07 20:12:51, SI=1, It_no=9, Feval_no=17, FOM=0.558737404773184
2019-03-07 20:12:53, SI=1, It_no=10, Feval_no=18, FOM=0.4660101272180572
2019-03-07 20:12:55, SI=1, It_no=10, Feval_no=19, FOM=0.5672832877204971
2019-03-07 20:12:57, SI=1, It_no=11, Feval_no=20, FOM=0.5687376994029124
2019-03-07 20:12:59, SI=1, It_no=12, Feval_no=21, FOM=0.38457156763935446
2019-03-07 20:13:00, SI=1, It_no=12, Feval_no=22, FOM=0.6069905660912623
2019-03-07 20:13:02, SI=1, It_no=13, Feval_no=23, FOM=0.5770662228868294
2019-03-07 20:13:04, SI=1, It_no=14, Feval_no=24, FOM=0.6839874023996302
2019-03-07 20:13:06, SI=1, It_no=14, Feval_no=25, FOM=0.7283999202972109
2019-03-07 20:13:08, SI=1, It_no=15, Feval_no=26, FOM=0.6193529949160753
2019-03-07 20:13:10, SI=1, It_no=16, Feval_no=27, FOM=0.7164600781069703
2019-03-07 20:13:12, SI=1, It_no=17, Feval_no=28, FOM=0.5453800682998096
2019-03-07 20:13:14, SI=1, It_no=17, Feval_no=29, FOM=0.6732200588951763
2019-03-07 20:13:16, SI=1, It_no=18, Feval_no=30, FOM=0.622434969414521
