Figure of merit results from optimization:
2019-03-07 20:07:34, SI=1, It_no=0, Feval_no=1, FOM=0.0
2019-03-07 20:07:36, SI=1, It_no=0, Feval_no=2, FOM=0.30644564522080747
2019-03-07 20:07:38, SI=1, It_no=0, Feval_no=3, FOM=0.5375416642676283
2019-03-07 20:07:39, SI=1, It_no=0, Feval_no=4, FOM=0.14096082844279512
2019-03-07 20:07:41, SI=1, It_no=0, Feval_no=5, FOM=0.485420749404062
2019-03-07 20:07:43, SI=1, It_no=1, Feval_no=6, FOM=0.3761277478025172
2019-03-07 20:07:45, SI=1, It_no=2, Feval_no=7, FOM=0.8622743384436194
2019-03-07 20:07:47, SI=1, It_no=2, Feval_no=8, FOM=0.04148724210622921
2019-03-07 20:07:49, SI=1, It_no=3, Feval_no=9, FOM=0.2522659121939593
2019-03-07 20:07:51, SI=1, It_no=4, Feval_no=10, FOM=0.6090957207297399
2019-03-07 20:07:53, SI=1, It_no=4, Feval_no=11, FOM=0.10067710325394676
2019-03-07 20:07:55, SI=1, It_no=5, Feval_no=12, FOM=0.20444585636190912
2019-03-07 20:07:58, SI=1, It_no=5, Feval_no=13, FOM=0.03944005739463996
2019-03-07 20:08:00, SI=1, It_no=6, Feval_no=14, FOM=0.18264795789785718
2019-03-07 20:08:01, SI=1, It_no=6, Feval_no=15, FOM=0.06688493565773357
2019-03-07 20:08:04, SI=1, It_no=7, Feval_no=16, FOM=0.13371747154679137
2019-03-07 20:08:06, SI=1, It_no=7, Feval_no=17, FOM=0.041988767571608084
2019-03-07 20:08:08, SI=1, It_no=8, Feval_no=18, FOM=0.08315885843207974
2019-03-07 20:08:10, SI=1, It_no=8, Feval_no=19, FOM=0.030591855030350074
2019-03-07 20:08:12, SI=1, It_no=9, Feval_no=20, FOM=0.05757854132254912
2019-03-07 20:08:14, SI=1, It_no=9, Feval_no=21, FOM=0.01742430285194955
2019-03-07 20:08:17, SI=1, It_no=10, Feval_no=22, FOM=0.11131670476445793
2019-03-07 20:08:19, SI=1, It_no=10, Feval_no=23, FOM=0.010499415664188515
2019-03-07 20:08:21, SI=1, It_no=11, Feval_no=24, FOM=0.04789510282970739
2019-03-07 20:08:23, SI=1, It_no=11, Feval_no=25, FOM=0.012349360320611295
2019-03-07 20:08:25, SI=1, It_no=12, Feval_no=26, FOM=0.034435169525315196
2019-03-07 20:08:27, SI=1, It_no=12, Feval_no=27, FOM=0.014895548583567132
2019-03-07 20:08:29, SI=1, It_no=13, Feval_no=28, FOM=0.02513081598534618
2019-03-07 20:08:31, SI=1, It_no=13, Feval_no=29, FOM=0.007696358769975575
2019-03-07 20:08:34, SI=1, It_no=14, Feval_no=30, FOM=0.013378502115338958
2019-03-07 20:08:36, SI=1, It_no=14, Feval_no=31, FOM=0.00673022400429932
2019-03-07 20:08:38, SI=1, It_no=15, Feval_no=32, FOM=0.011523208644619658
2019-03-07 20:08:40, SI=1, It_no=15, Feval_no=33, FOM=0.0044980393971611405
2019-03-07 20:08:42, SI=1, It_no=16, Feval_no=34, FOM=0.015898243740169637
2019-03-07 20:08:44, SI=1, It_no=16, Feval_no=35, FOM=0.0036296132640276195
2019-03-07 20:08:46, SI=1, It_no=17, Feval_no=36, FOM=0.009297680966079237
2019-03-07 20:08:48, SI=1, It_no=17, Feval_no=37, FOM=0.0037370250507081336
2019-03-07 20:08:50, SI=2, It_no=0, Feval_no=1, FOM=0.0
2019-03-07 20:08:52, SI=2, It_no=0, Feval_no=2, FOM=0.06760266843799828
2019-03-07 20:08:54, SI=2, It_no=0, Feval_no=3, FOM=0.014976524038134171
2019-03-07 20:08:56, SI=2, It_no=0, Feval_no=4, FOM=0.057323569691862
2019-03-07 20:08:57, SI=2, It_no=0, Feval_no=5, FOM=0.04624750844326016
2019-03-07 20:08:59, SI=2, It_no=1, Feval_no=6, FOM=0.09747217761385281
2019-03-07 20:09:01, SI=2, It_no=1, Feval_no=7, FOM=0.029975455776411645
2019-03-07 20:09:03, SI=2, It_no=2, Feval_no=8, FOM=0.05752924524481699
2019-03-07 20:09:05, SI=2, It_no=2, Feval_no=9, FOM=0.029186617552198372
2019-03-07 20:09:07, SI=2, It_no=3, Feval_no=10, FOM=0.07867603886037328
2019-03-07 20:09:09, SI=2, It_no=3, Feval_no=11, FOM=0.016107533539740638
2019-03-07 20:09:11, SI=2, It_no=4, Feval_no=12, FOM=0.026340439833062213
2019-03-07 20:09:12, SI=2, It_no=5, Feval_no=13, FOM=0.04125663482279622
