Figure of merit results from optimization:
2019-03-07 16:15:09, SI=1, It_no=0, Feval_no=1, FOM=0.002582589368876218
2019-03-07 16:15:11, SI=1, It_no=0, Feval_no=2, FOM=0.026530416750933542
2019-03-07 16:15:12, SI=1, It_no=0, Feval_no=3, FOM=0.010156443235990907
2019-03-07 16:15:13, SI=1, It_no=0, Feval_no=4, FOM=0.009722307377198779
2019-03-07 16:15:15, SI=1, It_no=0, Feval_no=5, FOM=0.0016581565102347102
2019-03-07 16:15:16, SI=1, It_no=1, Feval_no=6, FOM=0.0037955072643041377
2019-03-07 16:15:18, SI=1, It_no=2, Feval_no=7, FOM=0.011202901772345867
2019-03-07 16:15:19, SI=1, It_no=3, Feval_no=8, FOM=0.007547810917810589
2019-03-07 16:15:21, SI=1, It_no=3, Feval_no=9, FOM=0.010268737999724007
2019-03-07 16:15:22, SI=1, It_no=4, Feval_no=10, FOM=0.04346401031045703
2019-03-07 16:15:24, SI=1, It_no=4, Feval_no=11, FOM=0.055151496835662825
2019-03-07 16:15:26, SI=1, It_no=5, Feval_no=12, FOM=0.03561155502138478
2019-03-07 16:15:27, SI=1, It_no=6, Feval_no=13, FOM=0.05487839839669896
2019-03-07 16:15:29, SI=1, It_no=7, Feval_no=14, FOM=0.06813492141935192
2019-03-07 16:15:30, SI=1, It_no=7, Feval_no=15, FOM=0.09852504810971557
2019-03-07 16:15:31, SI=1, It_no=8, Feval_no=16, FOM=0.09898775510755123
2019-03-07 16:15:33, SI=1, It_no=8, Feval_no=17, FOM=0.13366744044239762
2019-03-07 16:15:34, SI=1, It_no=9, Feval_no=18, FOM=0.11858703710402464
2019-03-07 16:15:36, SI=1, It_no=10, Feval_no=19, FOM=0.14331887332920926
2019-03-07 16:15:37, SI=1, It_no=10, Feval_no=20, FOM=0.19002951141847055
2019-03-07 16:15:39, SI=1, It_no=11, Feval_no=21, FOM=0.21063230926448473
2019-03-07 16:15:40, SI=1, It_no=11, Feval_no=22, FOM=0.2891605664819316
2019-03-07 16:15:42, SI=1, It_no=12, Feval_no=23, FOM=0.2788256115014074
2019-03-07 16:15:43, SI=1, It_no=13, Feval_no=24, FOM=0.31754229802948497
2019-03-07 16:15:45, SI=1, It_no=13, Feval_no=25, FOM=0.40589340211905833
2019-03-07 16:15:46, SI=1, It_no=14, Feval_no=26, FOM=0.5128693826809343
2019-03-07 16:15:48, SI=1, It_no=14, Feval_no=27, FOM=0.5352264391287065
2019-03-07 16:15:49, SI=1, It_no=15, Feval_no=28, FOM=0.569625636426174
2019-03-07 16:15:51, SI=1, It_no=15, Feval_no=29, FOM=0.05973553825463783
2019-03-07 16:15:52, SI=1, It_no=16, Feval_no=30, FOM=0.3721223831043104
2019-03-07 16:15:53, SI=1, It_no=17, Feval_no=31, FOM=0.08264330674483569
2019-03-07 16:15:55, SI=1, It_no=17, Feval_no=32, FOM=0.4254804359490028
2019-03-07 16:15:56, SI=1, It_no=18, Feval_no=33, FOM=0.34450499969027837
2019-03-07 16:15:58, SI=1, It_no=18, Feval_no=34, FOM=0.5697587871504883
2019-03-07 16:15:59, SI=1, It_no=19, Feval_no=35, FOM=0.2653183656282467
2019-03-07 16:16:01, SI=1, It_no=19, Feval_no=36, FOM=0.5711554000844161
2019-03-07 16:16:02, SI=1, It_no=20, Feval_no=37, FOM=0.26733258910113894
2019-03-07 16:16:04, SI=1, It_no=20, Feval_no=38, FOM=0.5064150900175202
2019-03-07 16:16:05, SI=1, It_no=21, Feval_no=39, FOM=0.47157066527945213
2019-03-07 16:16:07, SI=1, It_no=21, Feval_no=40, FOM=0.527442616333658
2019-03-07 16:16:08, SI=1, It_no=22, Feval_no=41, FOM=0.559792894313302
2019-03-07 16:16:10, SI=1, It_no=23, Feval_no=42, FOM=0.517983334234424
2019-03-07 16:16:11, SI=1, It_no=23, Feval_no=43, FOM=0.5735511813876846
2019-03-07 16:16:13, SI=1, It_no=24, Feval_no=44, FOM=0.5012748338820284
2019-03-07 16:16:15, SI=1, It_no=24, Feval_no=45, FOM=0.5742490793884959
2019-03-07 16:16:16, SI=1, It_no=25, Feval_no=46, FOM=0.5220180890467755
2019-03-07 16:16:18, SI=1, It_no=25, Feval_no=47, FOM=0.578177693377302
2019-03-07 16:16:19, SI=1, It_no=26, Feval_no=48, FOM=0.49917888714690906
2019-03-07 16:16:21, SI=1, It_no=26, Feval_no=49, FOM=0.5782262954176137
2019-03-07 16:16:22, SI=1, It_no=27, Feval_no=50, FOM=0.33332153840448603
2019-03-07 16:16:23, SI=1, It_no=27, Feval_no=51, FOM=0.5247259439449137
2019-03-07 16:16:25, SI=1, It_no=27, Feval_no=52, FOM=0.5781779262446964
2019-03-07 16:16:27, SI=1, It_no=27, Feval_no=53, FOM=0.5778251194312456
2019-03-07 16:16:28, SI=1, It_no=27, Feval_no=54, FOM=0.5767605138062067
2019-03-07 16:16:29, SI=1, It_no=27, Feval_no=55, FOM=0.5213017844569554
2019-03-07 16:16:31, SI=2, It_no=0, Feval_no=1, FOM=0.5782262954176137
2019-03-07 16:16:33, SI=2, It_no=0, Feval_no=2, FOM=0.5779081629352418
2019-03-07 16:16:34, SI=2, It_no=0, Feval_no=3, FOM=0.3970891371578614
2019-03-07 16:16:35, SI=2, It_no=0, Feval_no=4, FOM=0.564158270004576
2019-03-07 16:16:37, SI=2, It_no=0, Feval_no=5, FOM=0.5478057374235987
2019-03-07 16:16:39, SI=2, It_no=1, Feval_no=6, FOM=0.5054506777728373
2019-03-07 16:16:40, SI=2, It_no=1, Feval_no=7, FOM=0.5696731047900782
2019-03-07 16:16:41, SI=2, It_no=2, Feval_no=8, FOM=0.5535022660311559
2019-03-07 16:16:43, SI=2, It_no=2, Feval_no=9, FOM=0.5737078570643493
2019-03-07 16:16:44, SI=2, It_no=3, Feval_no=10, FOM=0.5361361526949191
2019-03-07 16:16:46, SI=2, It_no=3, Feval_no=11, FOM=0.5760215376650861
2019-03-07 16:16:47, SI=3, It_no=0, Feval_no=1, FOM=0.5782262954176137
2019-03-07 16:16:49, SI=3, It_no=0, Feval_no=2, FOM=0.5584718717703966
2019-03-07 16:16:50, SI=3, It_no=0, Feval_no=3, FOM=0.5629162043043657
2019-03-07 16:16:52, SI=3, It_no=0, Feval_no=4, FOM=0.5553596600613161
2019-03-07 16:16:53, SI=3, It_no=0, Feval_no=5, FOM=0.5753614661713591
2019-03-07 16:16:54, SI=3, It_no=1, Feval_no=6, FOM=0.5685145727390016
2019-03-07 16:16:56, SI=3, It_no=2, Feval_no=7, FOM=0.5357045203096823
2019-03-07 16:16:57, SI=3, It_no=2, Feval_no=8, FOM=0.5761521946382322
2019-03-07 16:16:59, SI=3, It_no=3, Feval_no=9, FOM=0.5609967480339004
2019-03-07 16:17:01, SI=3, It_no=3, Feval_no=10, FOM=0.5725219065751948
2019-03-07 16:17:02, SI=4, It_no=0, Feval_no=1, FOM=0.5782262954176137
2019-03-07 16:17:03, SI=4, It_no=0, Feval_no=2, FOM=0.5626250001074503
2019-03-07 16:17:05, SI=4, It_no=0, Feval_no=3, FOM=0.46091785995650714
2019-03-07 16:17:06, SI=4, It_no=0, Feval_no=4, FOM=0.5312583346960275
2019-03-07 16:17:08, SI=4, It_no=0, Feval_no=5, FOM=0.557237403520993
2019-03-07 16:17:09, SI=4, It_no=1, Feval_no=6, FOM=0.4031301578513541
2019-03-07 16:17:11, SI=4, It_no=1, Feval_no=7, FOM=0.5507227424741528
2019-03-07 16:17:12, SI=4, It_no=2, Feval_no=8, FOM=0.48435336699421944
2019-03-07 16:17:13, SI=4, It_no=2, Feval_no=9, FOM=0.5663376084881975
2019-03-07 16:17:15, SI=4, It_no=3, Feval_no=10, FOM=0.550072818134919
2019-03-07 16:17:17, SI=4, It_no=3, Feval_no=11, FOM=0.5732647427765917
2019-03-07 16:17:18, SI=5, It_no=0, Feval_no=1, FOM=0.5782262954176137
2019-03-07 16:17:19, SI=5, It_no=0, Feval_no=2, FOM=0.5653837453042038
2019-03-07 16:17:21, SI=5, It_no=0, Feval_no=3, FOM=0.5692414543888313
2019-03-07 16:17:22, SI=5, It_no=0, Feval_no=4, FOM=0.5758210594480682
2019-03-07 16:17:24, SI=5, It_no=0, Feval_no=5, FOM=0.5763620118440087
2019-03-07 16:17:25, SI=5, It_no=1, Feval_no=6, FOM=0.5531545960949023
