Figure of merit results from optimization:
2019-03-07 20:11:01, SI=1, It_no=0, Feval_no=1, FOM=0.0
2019-03-07 20:11:03, SI=1, It_no=0, Feval_no=2, FOM=0.20334360631990284
2019-03-07 20:11:05, SI=1, It_no=0, Feval_no=3, FOM=0.03489870871023621
2019-03-07 20:11:07, SI=1, It_no=0, Feval_no=4, FOM=0.11297033811162804
2019-03-07 20:11:09, SI=1, It_no=0, Feval_no=5, FOM=0.0752851927819194
2019-03-07 20:11:11, SI=1, It_no=1, Feval_no=6, FOM=0.1795128543665053
2019-03-07 20:11:13, SI=1, It_no=1, Feval_no=7, FOM=0.08460409397852885
2019-03-07 20:11:15, SI=1, It_no=2, Feval_no=8, FOM=0.18543507334095707
2019-03-07 20:11:17, SI=1, It_no=2, Feval_no=9, FOM=0.03926450590655079
2019-03-07 20:11:19, SI=1, It_no=3, Feval_no=10, FOM=0.07263997265010164
2019-03-07 20:11:20, SI=1, It_no=4, Feval_no=11, FOM=0.13670565344729
2019-03-07 20:11:22, SI=1, It_no=4, Feval_no=12, FOM=0.022754108404441472
2019-03-07 20:11:25, SI=1, It_no=5, Feval_no=13, FOM=0.05882320426267799
2019-03-07 20:11:27, SI=1, It_no=5, Feval_no=14, FOM=0.026133621808164455
2019-03-07 20:11:28, SI=1, It_no=6, Feval_no=15, FOM=0.061746640896635355
2019-03-07 20:11:30, SI=1, It_no=6, Feval_no=16, FOM=0.014762215447952044
2019-03-07 20:11:32, SI=1, It_no=7, Feval_no=17, FOM=0.04448064900894743
2019-03-07 20:11:34, SI=1, It_no=7, Feval_no=18, FOM=0.01610714429442421
2019-03-07 20:11:36, SI=1, It_no=8, Feval_no=19, FOM=0.02306725688925572
2019-03-07 20:11:38, SI=1, It_no=8, Feval_no=20, FOM=0.010923067459649312
2019-03-07 20:11:40, SI=1, It_no=9, Feval_no=21, FOM=0.03864495455364212
2019-03-07 20:11:42, SI=1, It_no=9, Feval_no=22, FOM=0.0076268259036916305
2019-03-07 20:11:44, SI=1, It_no=10, Feval_no=23, FOM=0.018570290622861967
2019-03-07 20:11:46, SI=1, It_no=10, Feval_no=24, FOM=0.00834949882593264
2019-03-07 20:11:48, SI=1, It_no=11, Feval_no=25, FOM=0.012524256907826747
2019-03-07 20:11:50, SI=1, It_no=11, Feval_no=26, FOM=0.005860060722073295
2019-03-07 20:11:52, SI=1, It_no=12, Feval_no=27, FOM=0.015959817630792593
2019-03-07 20:11:54, SI=1, It_no=12, Feval_no=28, FOM=0.004548222119988824
2019-03-07 20:11:56, SI=1, It_no=13, Feval_no=29, FOM=0.00963607873331954
2019-03-07 20:11:58, SI=1, It_no=13, Feval_no=30, FOM=0.004238064367012618
2019-03-07 20:12:00, SI=1, It_no=14, Feval_no=31, FOM=0.009615290083601503
2019-03-07 20:12:02, SI=1, It_no=14, Feval_no=32, FOM=0.003743603922982094
