Figure of merit results from optimization:
2019-03-07 17:34:52, SI=1, It_no=0, Feval_no=1, FOM=1.0
2019-03-07 17:34:53, SI=1, It_no=0, Feval_no=2, FOM=0.7278511128019789
2019-03-07 17:34:55, SI=1, It_no=0, Feval_no=3, FOM=0.48588007040954584
2019-03-07 17:34:57, SI=1, It_no=0, Feval_no=4, FOM=0.791189386868714
2019-03-07 17:34:58, SI=1, It_no=0, Feval_no=5, FOM=0.7956971213193988
2019-03-07 17:34:59, SI=1, It_no=1, Feval_no=6, FOM=0.5914495494273044
2019-03-07 17:35:01, SI=1, It_no=2, Feval_no=7, FOM=0.6553977971133961
2019-03-07 17:35:02, SI=1, It_no=3, Feval_no=8, FOM=0.4482841986930106
2019-03-07 17:35:04, SI=1, It_no=3, Feval_no=9, FOM=0.9232592672068134
2019-03-07 17:35:05, SI=1, It_no=4, Feval_no=10, FOM=0.4270271201737458
2019-03-07 17:35:07, SI=1, It_no=4, Feval_no=11, FOM=0.5763953849612287
2019-03-07 17:35:08, SI=1, It_no=5, Feval_no=12, FOM=0.49960471073961754
2019-03-07 17:35:10, SI=1, It_no=6, Feval_no=13, FOM=0.7031987243250808
2019-03-07 17:35:11, SI=1, It_no=6, Feval_no=14, FOM=0.45402022362630845
2019-03-07 17:35:12, SI=1, It_no=7, Feval_no=15, FOM=0.5612319824512172
2019-03-07 17:35:14, SI=1, It_no=7, Feval_no=16, FOM=0.43510107725542546
2019-03-07 17:35:15, SI=1, It_no=8, Feval_no=17, FOM=0.5379742066996891
2019-03-07 17:35:17, SI=1, It_no=8, Feval_no=18, FOM=0.4332470671636194
2019-03-07 17:35:18, SI=1, It_no=9, Feval_no=19, FOM=0.5102578002805803
2019-03-07 17:35:20, SI=1, It_no=9, Feval_no=20, FOM=0.4260330607639261
2019-03-07 17:35:21, SI=1, It_no=10, Feval_no=21, FOM=0.44569714394870663
2019-03-07 17:35:22, SI=1, It_no=10, Feval_no=22, FOM=0.4269654616757119
2019-03-07 17:35:24, SI=1, It_no=11, Feval_no=23, FOM=0.4616586226184751
2019-03-07 17:35:26, SI=1, It_no=11, Feval_no=24, FOM=0.42357480289098914
2019-03-07 17:35:27, SI=1, It_no=12, Feval_no=25, FOM=0.4312283823886778
2019-03-07 17:35:28, SI=1, It_no=12, Feval_no=26, FOM=0.42412940451527337
2019-03-07 17:35:30, SI=1, It_no=13, Feval_no=27, FOM=0.4318221703720907
2019-03-07 17:35:31, SI=1, It_no=13, Feval_no=28, FOM=0.42325607899037976
2019-03-07 17:35:33, SI=1, It_no=14, Feval_no=29, FOM=0.43235413999523553
2019-03-07 17:35:34, SI=1, It_no=14, Feval_no=30, FOM=0.4231457789127121
2019-03-07 17:35:36, SI=1, It_no=15, Feval_no=31, FOM=0.432037166437529
2019-03-07 17:35:37, SI=1, It_no=15, Feval_no=32, FOM=0.42264262418678755
2019-03-07 17:35:39, SI=1, It_no=16, Feval_no=33, FOM=0.42328881536562424
2019-03-07 17:35:40, SI=1, It_no=17, Feval_no=34, FOM=0.4268194874739192
2019-03-07 17:35:42, SI=1, It_no=17, Feval_no=35, FOM=0.4224931123729647
2019-03-07 17:35:43, SI=1, It_no=18, Feval_no=36, FOM=0.423409809169647
2019-03-07 17:35:45, SI=1, It_no=18, Feval_no=37, FOM=0.4227917383819293
2019-03-07 17:35:46, SI=1, It_no=19, Feval_no=38, FOM=0.42631600842318373
2019-03-07 17:35:48, SI=1, It_no=19, Feval_no=39, FOM=0.42233188597821625
2019-03-07 17:35:49, SI=1, It_no=20, Feval_no=40, FOM=0.4228046100910864
2019-03-07 17:35:51, SI=1, It_no=20, Feval_no=41, FOM=0.4223010867033202
2019-03-07 17:35:52, SI=1, It_no=21, Feval_no=42, FOM=0.4228996568160438
2019-03-07 17:35:54, SI=1, It_no=21, Feval_no=43, FOM=0.42255061133499505
2019-03-07 17:35:55, SI=1, It_no=22, Feval_no=44, FOM=0.4229561541931095
2019-03-07 17:35:57, SI=1, It_no=22, Feval_no=45, FOM=0.42255260426178576
2019-03-07 17:35:58, SI=1, It_no=23, Feval_no=46, FOM=0.4224600363746258
2019-03-07 17:36:00, SI=1, It_no=24, Feval_no=47, FOM=0.4232353776438704
2019-03-07 17:36:01, SI=1, It_no=24, Feval_no=48, FOM=0.4223442288773437
2019-03-07 17:36:03, SI=1, It_no=25, Feval_no=49, FOM=0.42237603677065894
2019-03-07 17:36:04, SI=1, It_no=26, Feval_no=50, FOM=0.422421599477111
2019-03-07 17:36:06, SI=1, It_no=26, Feval_no=51, FOM=0.42242837513233766
2019-03-07 17:36:07, SI=1, It_no=26, Feval_no=52, FOM=0.4225199546040782
2019-03-07 17:36:09, SI=1, It_no=26, Feval_no=53, FOM=0.4223136960799573
2019-03-07 17:36:11, SI=1, It_no=26, Feval_no=54, FOM=0.42249662977465174
2019-03-07 17:36:12, SI=1, It_no=26, Feval_no=55, FOM=0.42247828312158175
2019-03-07 17:36:13, SI=2, It_no=0, Feval_no=1, FOM=0.4223010867033202
2019-03-07 17:36:15, SI=2, It_no=0, Feval_no=2, FOM=0.43327510918184076
2019-03-07 17:36:16, SI=2, It_no=0, Feval_no=3, FOM=0.4655972356862895
2019-03-07 17:36:18, SI=2, It_no=0, Feval_no=4, FOM=0.4757225359953531
2019-03-07 17:36:20, SI=2, It_no=0, Feval_no=5, FOM=0.4621899477643787
2019-03-07 17:36:21, SI=2, It_no=1, Feval_no=6, FOM=0.642319636357253
2019-03-07 17:36:23, SI=2, It_no=1, Feval_no=7, FOM=0.42465639637975894
2019-03-07 17:36:24, SI=2, It_no=2, Feval_no=8, FOM=0.42998215423099984
2019-03-07 17:36:25, SI=2, It_no=3, Feval_no=9, FOM=0.47016988425723005
2019-03-07 17:36:27, SI=2, It_no=3, Feval_no=10, FOM=0.4311267125620757
2019-03-07 17:36:28, SI=2, It_no=4, Feval_no=11, FOM=0.4394032155545158
2019-03-07 17:36:30, SI=2, It_no=4, Feval_no=12, FOM=0.42473849299329514
2019-03-07 17:36:31, SI=2, It_no=5, Feval_no=13, FOM=0.44304044692128985
2019-03-07 17:36:33, SI=2, It_no=5, Feval_no=14, FOM=0.42292414538573664
2019-03-07 17:36:34, SI=2, It_no=6, Feval_no=15, FOM=0.43248877146805165
2019-03-07 17:36:36, SI=2, It_no=6, Feval_no=16, FOM=0.4239974316945416
2019-03-07 17:36:37, SI=2, It_no=7, Feval_no=17, FOM=0.4280613602190929
2019-03-07 17:36:38, SI=2, It_no=7, Feval_no=18, FOM=0.42257000319834004
2019-03-07 17:36:40, SI=2, It_no=8, Feval_no=19, FOM=0.42521988041415726
2019-03-07 17:36:42, SI=2, It_no=8, Feval_no=20, FOM=0.42303633479868497
2019-03-07 17:36:43, SI=2, It_no=9, Feval_no=21, FOM=0.42489531169442807
2019-03-07 17:36:45, SI=2, It_no=9, Feval_no=22, FOM=0.4226243977908486
2019-03-07 17:36:46, SI=2, It_no=10, Feval_no=23, FOM=0.4240556418503961
2019-03-07 17:36:48, SI=2, It_no=10, Feval_no=24, FOM=0.42254901611445284
2019-03-07 17:36:49, SI=2, It_no=11, Feval_no=25, FOM=0.4243689413706979
2019-03-07 17:36:51, SI=2, It_no=11, Feval_no=26, FOM=0.42243598225439805
2019-03-07 17:36:52, SI=3, It_no=0, Feval_no=1, FOM=0.4223010867033202
2019-03-07 17:36:54, SI=3, It_no=0, Feval_no=2, FOM=0.423771055406128
2019-03-07 17:36:55, SI=3, It_no=0, Feval_no=3, FOM=0.43081964412026186
2019-03-07 17:36:57, SI=3, It_no=0, Feval_no=4, FOM=0.42982646916245837
2019-03-07 17:36:58, SI=3, It_no=0, Feval_no=5, FOM=0.4230928676346267
