Figure of merit results from optimization:
2019-03-07 15:52:28, SI=1, It_no=0, Feval_no=1, FOM=0.8575610740347309
2019-03-07 15:52:29, SI=1, It_no=0, Feval_no=2, FOM=0.872771461998809
2019-03-07 15:52:31, SI=1, It_no=0, Feval_no=3, FOM=0.8232722551279896
2019-03-07 15:52:32, SI=1, It_no=0, Feval_no=4, FOM=0.8533266167676131
2019-03-07 15:52:33, SI=1, It_no=0, Feval_no=5, FOM=0.8958583809016173
2019-03-07 15:52:35, SI=1, It_no=1, Feval_no=6, FOM=0.9185252822143971
2019-03-07 15:52:36, SI=1, It_no=1, Feval_no=7, FOM=0.9643245241577554
2019-03-07 15:52:37, SI=1, It_no=2, Feval_no=8, FOM=0.9408330660489108
2019-03-07 15:52:39, SI=1, It_no=3, Feval_no=9, FOM=0.9798755096198699
2019-03-07 15:52:40, SI=1, It_no=3, Feval_no=10, FOM=0.9555592282273184
2019-03-07 15:52:42, SI=1, It_no=4, Feval_no=11, FOM=0.9791297795672751
2019-03-07 15:52:43, SI=1, It_no=5, Feval_no=12, FOM=0.941217173055715
2019-03-07 15:52:44, SI=1, It_no=6, Feval_no=13, FOM=0.9302295791126839
2019-03-07 15:52:46, SI=1, It_no=6, Feval_no=14, FOM=0.9762827089242926
2019-03-07 15:52:47, SI=1, It_no=7, Feval_no=15, FOM=0.9118718602881971
2019-03-07 15:52:49, SI=1, It_no=7, Feval_no=16, FOM=0.9784203924659424
2019-03-07 15:52:50, SI=1, It_no=8, Feval_no=17, FOM=0.967459947477753
2019-03-07 15:52:51, SI=1, It_no=8, Feval_no=18, FOM=0.9809343613879064
2019-03-07 15:52:53, SI=1, It_no=9, Feval_no=19, FOM=0.9559925852239036
2019-03-07 15:52:54, SI=1, It_no=9, Feval_no=20, FOM=0.9896667417743215
2019-03-07 15:52:56, SI=1, It_no=10, Feval_no=21, FOM=0.9822985884296495
2019-03-07 15:52:57, SI=1, It_no=11, Feval_no=22, FOM=0.9680182030466034
2019-03-07 15:52:58, SI=1, It_no=11, Feval_no=23, FOM=0.991987155651287
2019-03-07 15:53:00, SI=1, It_no=12, Feval_no=24, FOM=0.9811495321804987
2019-03-07 15:53:01, SI=1, It_no=13, Feval_no=25, FOM=0.9851755364528512
2019-03-07 15:53:03, SI=1, It_no=14, Feval_no=26, FOM=0.9637777364773362
2019-03-07 15:53:04, SI=1, It_no=14, Feval_no=27, FOM=0.9963812443585018
2019-03-07 15:53:05, SI=1, It_no=15, Feval_no=28, FOM=0.9900480478687521
2019-03-07 15:53:07, SI=1, It_no=16, Feval_no=29, FOM=0.9778735802303462
2019-03-07 15:53:08, SI=1, It_no=16, Feval_no=30, FOM=0.9926038370267765
2019-03-07 15:53:10, SI=2, It_no=0, Feval_no=1, FOM=0.9963812443585018
2019-03-07 15:53:11, SI=2, It_no=0, Feval_no=2, FOM=0.9992399610271291
2019-03-07 15:53:12, SI=2, It_no=0, Feval_no=3, FOM=0.9944118067428738
2019-03-07 15:53:14, SI=2, It_no=0, Feval_no=4, FOM=0.9931785517208441
2019-03-07 15:53:15, SI=2, It_no=0, Feval_no=5, FOM=0.9838574290559358
2019-03-07 15:53:17, SI=2, It_no=1, Feval_no=6, FOM=0.9858766226236926
2019-03-07 15:53:18, SI=2, It_no=1, Feval_no=7, FOM=0.9927988567154541
2019-03-07 15:53:19, SI=2, It_no=2, Feval_no=8, FOM=0.9921432098930195
2019-03-07 15:53:21, SI=2, It_no=2, Feval_no=9, FOM=0.9964853899800793
2019-03-07 15:53:22, SI=2, It_no=3, Feval_no=10, FOM=0.9925655940773943
2019-03-07 15:53:24, SI=2, It_no=3, Feval_no=11, FOM=0.9971233375981172
2019-03-07 15:53:25, SI=2, It_no=4, Feval_no=12, FOM=0.9960481166451179
2019-03-07 15:53:26, SI=2, It_no=4, Feval_no=13, FOM=0.9977671863740604
2019-03-07 15:53:28, SI=2, It_no=5, Feval_no=14, FOM=0.991316312379593
2019-03-07 15:53:29, SI=2, It_no=5, Feval_no=15, FOM=0.9998516740491379
2019-03-07 15:53:30, SI=2, It_no=6, Feval_no=16, FOM=0.9963624116968994
2019-03-07 15:53:35, SI=2, It_no=6, Feval_no=17, FOM=0.9988413009018928
2019-03-07 15:53:36, SI=2, It_no=7, Feval_no=18, FOM=0.9983747954797709
2019-03-07 15:53:38, SI=2, It_no=8, Feval_no=19, FOM=0.9972230542504371
2019-03-07 15:53:39, SI=2, It_no=8, Feval_no=20, FOM=0.9999454899044082
2019-03-07 15:53:41, SI=2, It_no=9, Feval_no=21, FOM=0.99811253270741
2019-03-07 15:53:42, SI=2, It_no=9, Feval_no=22, FOM=0.997519606646269
2019-03-07 15:53:44, SI=2, It_no=9, Feval_no=23, FOM=0.9969996074796204
2019-03-07 15:53:46, SI=2, It_no=9, Feval_no=24, FOM=0.9981655338524793
2019-03-07 15:53:47, SI=2, It_no=9, Feval_no=25, FOM=0.9993163450375476
2019-03-07 15:53:49, SI=2, It_no=9, Feval_no=26, FOM=0.9993866626518125
2019-03-07 15:53:51, SI=3, It_no=0, Feval_no=1, FOM=0.9999454899044082
2019-03-07 15:53:52, SI=3, It_no=0, Feval_no=2, FOM=0.9897494812084989
2019-03-07 15:53:54, SI=3, It_no=0, Feval_no=3, FOM=0.9981911005381585
2019-03-07 15:53:55, SI=3, It_no=0, Feval_no=4, FOM=0.9945703766429012
2019-03-07 15:53:57, SI=3, It_no=0, Feval_no=5, FOM=0.9942891815794578
2019-03-07 15:53:58, SI=3, It_no=1, Feval_no=6, FOM=0.9857215977880097
2019-03-07 15:54:00, SI=3, It_no=1, Feval_no=7, FOM=0.9975090293550753
2019-03-07 15:54:01, SI=3, It_no=2, Feval_no=8, FOM=0.996912845052536
2019-03-07 15:54:02, SI=3, It_no=3, Feval_no=9, FOM=0.9898771320677024
2019-03-07 15:54:04, SI=3, It_no=3, Feval_no=10, FOM=0.9987411806580255
2019-03-07 15:54:06, SI=3, It_no=4, Feval_no=11, FOM=0.9968616121347434
2019-03-07 15:54:07, SI=3, It_no=4, Feval_no=12, FOM=0.9987109857579178
2019-03-07 15:54:09, SI=3, It_no=5, Feval_no=13, FOM=0.9996189032626406
2019-03-07 15:54:10, SI=3, It_no=6, Feval_no=14, FOM=0.9992453539726456
2019-03-07 15:54:12, SI=3, It_no=7, Feval_no=15, FOM=0.9974622331980801
2019-03-07 15:54:14, SI=3, It_no=7, Feval_no=16, FOM=0.9993001874142889
2019-03-07 15:54:15, SI=3, It_no=8, Feval_no=17, FOM=0.9984695990518778
2019-03-07 15:54:17, SI=3, It_no=8, Feval_no=18, FOM=0.9998296416170526
2019-03-07 15:54:18, SI=3, It_no=9, Feval_no=19, FOM=0.9996384069325595
2019-03-07 15:54:20, SI=3, It_no=10, Feval_no=20, FOM=0.9996369175037217
