Figure of merit results from optimization:
2019-03-07 16:21:09, SI=1, It_no=0, Feval_no=1, FOM=0.0051017632674906395
2019-03-07 16:21:11, SI=1, It_no=0, Feval_no=2, FOM=0.12963366055843595
2019-03-07 16:21:12, SI=1, It_no=0, Feval_no=3, FOM=0.17513074197719142
2019-03-07 16:21:14, SI=1, It_no=0, Feval_no=4, FOM=0.012071030680951321
2019-03-07 16:21:16, SI=1, It_no=0, Feval_no=5, FOM=0.12067583335789268
2019-03-07 16:21:18, SI=1, It_no=1, Feval_no=6, FOM=0.10360701584281297
2019-03-07 16:21:19, SI=1, It_no=2, Feval_no=7, FOM=0.1394982178033625
2019-03-07 16:21:20, SI=1, It_no=3, Feval_no=8, FOM=0.059982337735309484
2019-03-07 16:21:22, SI=1, It_no=3, Feval_no=9, FOM=0.08476734244162565
2019-03-07 16:21:23, SI=1, It_no=3, Feval_no=10, FOM=0.1675872462808945
2019-03-07 16:21:25, SI=1, It_no=3, Feval_no=11, FOM=0.015148063917939674
2019-03-07 16:21:26, SI=1, It_no=3, Feval_no=12, FOM=0.1607099157506875
2019-03-07 16:21:28, SI=1, It_no=3, Feval_no=13, FOM=0.13571695416527352
2019-03-07 16:21:29, SI=1, It_no=4, Feval_no=14, FOM=0.2780528498843073
2019-03-07 16:21:31, SI=1, It_no=4, Feval_no=15, FOM=0.3704296637337857
2019-03-07 16:21:32, SI=1, It_no=5, Feval_no=16, FOM=0.3024970857672535
2019-03-07 16:21:34, SI=1, It_no=6, Feval_no=17, FOM=0.3773813542531666
2019-03-07 16:21:35, SI=1, It_no=6, Feval_no=18, FOM=0.4409912256392418
2019-03-07 16:21:37, SI=1, It_no=7, Feval_no=19, FOM=0.4762607568686349
2019-03-07 16:21:38, SI=1, It_no=7, Feval_no=20, FOM=0.5550500399526077
2019-03-07 16:21:40, SI=1, It_no=8, Feval_no=21, FOM=0.5735917770315877
2019-03-07 16:21:41, SI=1, It_no=8, Feval_no=22, FOM=0.5246884613982472
2019-03-07 16:21:43, SI=1, It_no=9, Feval_no=23, FOM=0.5776143777784591
2019-03-07 16:21:44, SI=1, It_no=9, Feval_no=24, FOM=0.45853765292668514
2019-03-07 16:21:46, SI=1, It_no=10, Feval_no=25, FOM=0.5426751294618108
2019-03-07 16:21:47, SI=1, It_no=11, Feval_no=26, FOM=0.46067180273428693
2019-03-07 16:21:49, SI=1, It_no=11, Feval_no=27, FOM=0.5525987129455772
2019-03-07 16:21:51, SI=1, It_no=12, Feval_no=28, FOM=0.5570113711688441
2019-03-07 16:21:52, SI=1, It_no=13, Feval_no=29, FOM=0.44900981317636945
2019-03-07 16:21:54, SI=1, It_no=13, Feval_no=30, FOM=0.5784169558304268
2019-03-07 16:21:55, SI=1, It_no=14, Feval_no=31, FOM=0.5762143291642987
2019-03-07 16:21:57, SI=1, It_no=15, Feval_no=32, FOM=0.544764871600612
2019-03-07 16:21:58, SI=1, It_no=15, Feval_no=33, FOM=0.5719050887220035
2019-03-07 16:22:00, SI=1, It_no=16, Feval_no=34, FOM=0.5682262598600345
2019-03-07 16:22:01, SI=1, It_no=16, Feval_no=35, FOM=0.5767254276360405
2019-03-07 16:22:03, SI=1, It_no=17, Feval_no=36, FOM=0.5654423695026121
2019-03-07 16:22:04, SI=1, It_no=17, Feval_no=37, FOM=0.5763621541001227
2019-03-07 16:22:06, SI=1, It_no=18, Feval_no=38, FOM=0.5768951547482795
2019-03-07 16:22:07, SI=1, It_no=19, Feval_no=39, FOM=0.5781443279471323
2019-03-07 16:22:08, SI=1, It_no=20, Feval_no=40, FOM=0.5769338214604215
2019-03-07 16:22:10, SI=1, It_no=21, Feval_no=41, FOM=0.5628730568226991
2019-03-07 16:22:12, SI=1, It_no=21, Feval_no=42, FOM=0.5773002218339867
2019-03-07 16:22:13, SI=1, It_no=22, Feval_no=43, FOM=0.5785784448984373
2019-03-07 16:22:15, SI=1, It_no=22, Feval_no=44, FOM=0.5761079722410121
2019-03-07 16:22:16, SI=1, It_no=23, Feval_no=45, FOM=0.5747877398397675
2019-03-07 16:22:18, SI=1, It_no=23, Feval_no=46, FOM=0.5788824632363958
2019-03-07 16:22:19, SI=1, It_no=24, Feval_no=47, FOM=0.578721815145179
2019-03-07 16:22:20, SI=1, It_no=25, Feval_no=48, FOM=0.5787022158681937
2019-03-07 16:22:22, SI=1, It_no=26, Feval_no=49, FOM=0.5780191371177609
2019-03-07 16:22:24, SI=1, It_no=26, Feval_no=50, FOM=0.5774258090879484
2019-03-07 16:22:25, SI=1, It_no=26, Feval_no=51, FOM=0.5786606680912257
2019-03-07 16:22:27, SI=1, It_no=26, Feval_no=52, FOM=0.5788667127048092
2019-03-07 16:22:28, SI=1, It_no=26, Feval_no=53, FOM=0.5789205312011011
2019-03-07 16:22:30, SI=1, It_no=26, Feval_no=54, FOM=0.5777977755474032
2019-03-07 16:22:31, SI=2, It_no=0, Feval_no=1, FOM=0.5789205312011011
2019-03-07 16:22:33, SI=2, It_no=0, Feval_no=2, FOM=0.5766344927120877
2019-03-07 16:22:34, SI=2, It_no=0, Feval_no=3, FOM=0.578903114102769
2019-03-07 16:22:36, SI=2, It_no=0, Feval_no=4, FOM=0.21347862896310368
2019-03-07 16:22:37, SI=2, It_no=0, Feval_no=5, FOM=0.5048602838091266
2019-03-07 16:22:39, SI=2, It_no=1, Feval_no=6, FOM=0.30130651939160275
2019-03-07 16:22:40, SI=2, It_no=1, Feval_no=7, FOM=0.513862925087722
2019-03-07 16:22:42, SI=2, It_no=2, Feval_no=8, FOM=0.4080319069176917
2019-03-07 16:22:43, SI=2, It_no=2, Feval_no=9, FOM=0.5646715901563228
2019-03-07 16:22:45, SI=2, It_no=3, Feval_no=10, FOM=0.4962348175517594
2019-03-07 16:22:46, SI=2, It_no=3, Feval_no=11, FOM=0.5637711365586764
2019-03-07 16:22:48, SI=3, It_no=0, Feval_no=1, FOM=0.5789205312011011
2019-03-07 16:22:50, SI=3, It_no=0, Feval_no=2, FOM=0.3273783072720477
2019-03-07 16:22:51, SI=3, It_no=0, Feval_no=3, FOM=0.5490259614396694
2019-03-07 16:22:52, SI=3, It_no=0, Feval_no=4, FOM=0.4963548441884552
2019-03-07 16:22:54, SI=3, It_no=0, Feval_no=5, FOM=0.5756136317765239
2019-03-07 16:22:55, SI=3, It_no=1, Feval_no=6, FOM=0.2936002691781084
2019-03-07 16:22:57, SI=3, It_no=1, Feval_no=7, FOM=0.520620625709858
2019-03-07 16:22:59, SI=3, It_no=2, Feval_no=8, FOM=0.40782679515258163
2019-03-07 16:23:00, SI=3, It_no=2, Feval_no=9, FOM=0.5682339581774085
2019-03-07 16:23:01, SI=3, It_no=3, Feval_no=10, FOM=0.5364000890978724
2019-03-07 16:23:03, SI=3, It_no=3, Feval_no=11, FOM=0.5714153482959643
