Figure of merit results from optimization:
2019-03-07 16:36:48, SI=1, It_no=0, Feval_no=1, FOM=0.0
2019-03-07 16:36:49, SI=1, It_no=0, Feval_no=2, FOM=0.17657200488871774
2019-03-07 16:36:50, SI=1, It_no=0, Feval_no=3, FOM=0.040414299117158
2019-03-07 16:36:52, SI=1, It_no=0, Feval_no=4, FOM=0.036793562802953914
2019-03-07 16:36:53, SI=1, It_no=0, Feval_no=5, FOM=0.09820292082474626
2019-03-07 16:36:55, SI=1, It_no=1, Feval_no=6, FOM=0.141959641815647
2019-03-07 16:36:56, SI=1, It_no=2, Feval_no=7, FOM=0.2631261926313049
2019-03-07 16:36:57, SI=1, It_no=2, Feval_no=8, FOM=0.39826465654964344
2019-03-07 16:36:59, SI=1, It_no=3, Feval_no=9, FOM=0.3610648840807005
2019-03-07 16:37:00, SI=1, It_no=4, Feval_no=10, FOM=0.4126253962604499
2019-03-07 16:37:02, SI=1, It_no=4, Feval_no=11, FOM=0.5155595444918536
2019-03-07 16:37:03, SI=1, It_no=5, Feval_no=12, FOM=0.5312486527672968
2019-03-07 16:37:05, SI=1, It_no=5, Feval_no=13, FOM=0.579755238988824
2019-03-07 16:37:06, SI=1, It_no=6, Feval_no=14, FOM=0.5701348824356977
2019-03-07 16:37:07, SI=1, It_no=7, Feval_no=15, FOM=0.5443953547607021
2019-03-07 16:37:09, SI=1, It_no=8, Feval_no=16, FOM=0.34148689351619155
2019-03-07 16:37:10, SI=1, It_no=8, Feval_no=17, FOM=0.5422426428129227
2019-03-07 16:37:12, SI=1, It_no=9, Feval_no=18, FOM=0.46035464725911907
2019-03-07 16:37:13, SI=1, It_no=9, Feval_no=19, FOM=0.5755684977745479
2019-03-07 16:37:14, SI=1, It_no=10, Feval_no=20, FOM=0.4748590520812141
2019-03-07 16:37:16, SI=1, It_no=10, Feval_no=21, FOM=0.5769379133324655
2019-03-07 16:37:17, SI=1, It_no=11, Feval_no=22, FOM=0.5199263460118371
2019-03-07 16:37:19, SI=1, It_no=11, Feval_no=23, FOM=0.5623829356934116
2019-03-07 16:37:20, SI=1, It_no=12, Feval_no=24, FOM=0.5597982576544642
2019-03-07 16:37:22, SI=1, It_no=12, Feval_no=25, FOM=0.5717959206275494
2019-03-07 16:37:23, SI=1, It_no=13, Feval_no=26, FOM=0.5650965013769579
2019-03-07 16:37:24, SI=1, It_no=13, Feval_no=27, FOM=0.5784418933024431
2019-03-07 16:37:26, SI=1, It_no=14, Feval_no=28, FOM=0.5687644113802343
2019-03-07 16:37:27, SI=1, It_no=14, Feval_no=29, FOM=0.5782080059770648
2019-03-07 16:37:29, SI=1, It_no=15, Feval_no=30, FOM=0.5528802401251272
2019-03-07 16:37:30, SI=1, It_no=15, Feval_no=31, FOM=0.5763098918500567
2019-03-07 16:37:32, SI=1, It_no=16, Feval_no=32, FOM=0.5772045264833866
2019-03-07 16:37:33, SI=1, It_no=17, Feval_no=33, FOM=0.5547396735309758
2019-03-07 16:37:35, SI=1, It_no=17, Feval_no=34, FOM=0.5786099858681089
2019-03-07 16:37:36, SI=1, It_no=18, Feval_no=35, FOM=0.5797058561532376
2019-03-07 16:37:37, SI=1, It_no=19, Feval_no=36, FOM=0.5778800109887321
2019-03-07 16:37:39, SI=1, It_no=19, Feval_no=37, FOM=0.5783163106594893
2019-03-07 16:37:40, SI=1, It_no=20, Feval_no=38, FOM=0.5788872286869609
2019-03-07 16:37:42, SI=1, It_no=21, Feval_no=39, FOM=0.5754233500544524
2019-03-07 16:37:43, SI=1, It_no=21, Feval_no=40, FOM=0.5789498333838232
2019-03-07 16:37:45, SI=1, It_no=22, Feval_no=41, FOM=0.5768364583115605
2019-03-07 16:37:46, SI=1, It_no=22, Feval_no=42, FOM=0.5777145751221358
2019-03-07 16:37:48, SI=1, It_no=22, Feval_no=43, FOM=0.5788136975862571
2019-03-07 16:37:49, SI=1, It_no=22, Feval_no=44, FOM=0.5775902203270353
2019-03-07 16:37:51, SI=1, It_no=22, Feval_no=45, FOM=0.5756378142923411
2019-03-07 16:37:52, SI=1, It_no=22, Feval_no=46, FOM=0.5790669447096085
2019-03-07 16:37:54, SI=1, It_no=23, Feval_no=47, FOM=0.5753357710893616
2019-03-07 16:37:55, SI=1, It_no=23, Feval_no=48, FOM=0.5790568355537239
2019-03-07 16:37:57, SI=1, It_no=24, Feval_no=49, FOM=0.5781411446049346
2019-03-07 16:37:58, SI=1, It_no=24, Feval_no=50, FOM=0.5790340281744574
2019-03-07 16:38:00, SI=2, It_no=0, Feval_no=1, FOM=0.579755238988824
2019-03-07 16:38:01, SI=2, It_no=0, Feval_no=2, FOM=0.5771285241368124
2019-03-07 16:38:03, SI=2, It_no=0, Feval_no=3, FOM=0.5749084521366487
2019-03-07 16:38:04, SI=2, It_no=0, Feval_no=4, FOM=0.5281520258226485
2019-03-07 16:38:06, SI=2, It_no=0, Feval_no=5, FOM=0.5674747137037516
2019-03-07 16:38:07, SI=2, It_no=1, Feval_no=6, FOM=0.5707410670499297
2019-03-07 16:38:09, SI=2, It_no=2, Feval_no=7, FOM=0.573612953251563
2019-03-07 16:38:10, SI=2, It_no=3, Feval_no=8, FOM=0.5701410286070472
2019-03-07 16:38:12, SI=2, It_no=3, Feval_no=9, FOM=0.5731205850929255
2019-03-07 16:38:13, SI=2, It_no=4, Feval_no=10, FOM=0.578818156777624
2019-03-07 16:38:56, SI=2, It_no=5, Feval_no=11, FOM=0.5484538599975848
