Figure of merit results from optimization:
2019-03-07 15:58:08, SI=1, It_no=0, Feval_no=1, FOM=0.0024513058268387355
2019-03-07 15:58:09, SI=1, It_no=0, Feval_no=2, FOM=0.05298909253562526
2019-03-07 15:58:11, SI=1, It_no=0, Feval_no=3, FOM=0.026323158108573382
2019-03-07 15:58:12, SI=1, It_no=0, Feval_no=4, FOM=0.015278650881389157
2019-03-07 15:58:14, SI=1, It_no=0, Feval_no=5, FOM=0.07260930671479371
2019-03-07 15:58:15, SI=1, It_no=1, Feval_no=6, FOM=0.01474498585269211
2019-03-07 15:58:16, SI=1, It_no=1, Feval_no=7, FOM=0.001450317844121032
2019-03-07 15:58:18, SI=1, It_no=1, Feval_no=8, FOM=0.014217063315801297
2019-03-07 15:58:19, SI=1, It_no=1, Feval_no=9, FOM=0.01598083682712472
2019-03-07 15:58:21, SI=1, It_no=1, Feval_no=10, FOM=0.030544412844885065
2019-03-07 15:58:22, SI=1, It_no=1, Feval_no=11, FOM=0.033963606504577595
2019-03-07 15:58:24, SI=1, It_no=2, Feval_no=12, FOM=0.06186119405469795
2019-03-07 15:58:25, SI=1, It_no=3, Feval_no=13, FOM=0.0744939366307255
2019-03-07 15:58:27, SI=1, It_no=3, Feval_no=14, FOM=0.09319340280641832
2019-03-07 15:58:28, SI=1, It_no=4, Feval_no=15, FOM=0.11831730491638924
2019-03-07 15:58:30, SI=1, It_no=4, Feval_no=16, FOM=0.1385905367560497
2019-03-07 15:58:31, SI=1, It_no=5, Feval_no=17, FOM=0.15124225013268514
2019-03-07 15:58:33, SI=1, It_no=5, Feval_no=18, FOM=0.19781276647190724
2019-03-07 15:58:34, SI=1, It_no=6, Feval_no=19, FOM=0.16738132382691093
2019-03-07 15:58:38, SI=1, It_no=7, Feval_no=20, FOM=0.23320600003335212
2019-03-07 15:58:40, SI=1, It_no=7, Feval_no=21, FOM=0.2737485596447208
2019-03-07 15:58:41, SI=1, It_no=8, Feval_no=22, FOM=0.2765096473699415
2019-03-07 15:58:43, SI=1, It_no=8, Feval_no=23, FOM=0.2750715106441145
2019-03-07 15:58:44, SI=1, It_no=9, Feval_no=24, FOM=0.27519107032408663
2019-03-07 15:58:46, SI=1, It_no=10, Feval_no=25, FOM=0.27753514324057765
2019-03-07 15:58:48, SI=1, It_no=10, Feval_no=26, FOM=0.26194930899681446
2019-03-07 15:58:49, SI=1, It_no=11, Feval_no=27, FOM=0.2728962699943701
2019-03-07 15:58:51, SI=1, It_no=11, Feval_no=28, FOM=0.2773048238205031
2019-03-07 15:58:52, SI=1, It_no=12, Feval_no=29, FOM=0.2802714083711564
2019-03-07 15:58:53, SI=1, It_no=12, Feval_no=30, FOM=0.27728466427524373
2019-03-07 15:58:55, SI=1, It_no=13, Feval_no=31, FOM=0.27297306729890447
2019-03-07 15:58:57, SI=1, It_no=13, Feval_no=32, FOM=0.27852830763588887
2019-03-07 15:58:58, SI=1, It_no=14, Feval_no=33, FOM=0.24529033194858224
2019-03-07 15:59:00, SI=1, It_no=14, Feval_no=34, FOM=0.2807831413939528
2019-03-07 15:59:02, SI=1, It_no=15, Feval_no=35, FOM=0.2790627945462227
2019-03-07 15:59:03, SI=1, It_no=16, Feval_no=36, FOM=0.27696894444497977
2019-03-07 15:59:05, SI=1, It_no=16, Feval_no=37, FOM=0.28007718741970333
2019-03-07 15:59:07, SI=1, It_no=17, Feval_no=38, FOM=0.27967491232905567
2019-03-07 15:59:08, SI=1, It_no=18, Feval_no=39, FOM=0.2761158130428136
2019-03-07 15:59:10, SI=1, It_no=18, Feval_no=40, FOM=0.2765769563443302
2019-03-07 15:59:11, SI=1, It_no=18, Feval_no=41, FOM=0.27604752736864246
2019-03-07 15:59:13, SI=1, It_no=18, Feval_no=42, FOM=0.2789928225501388
2019-03-07 15:59:14, SI=1, It_no=18, Feval_no=43, FOM=0.279147901535516
2019-03-07 15:59:16, SI=1, It_no=18, Feval_no=44, FOM=0.28101984486617426
2019-03-07 15:59:18, SI=1, It_no=19, Feval_no=45, FOM=0.27438115496851584
2019-03-07 15:59:19, SI=1, It_no=19, Feval_no=46, FOM=0.27845081581487363
2019-03-07 15:59:21, SI=1, It_no=20, Feval_no=47, FOM=0.271815510349634
2019-03-07 15:59:22, SI=1, It_no=20, Feval_no=48, FOM=0.2841278809923442
