Figure of merit results from optimization:
2019-03-08 00:56:56, SI=1, It_no=0, Feval_no=1, FOM=0.0
2019-03-08 00:56:58, SI=1, It_no=0, Feval_no=2, FOM=0.02891794991150389
2019-03-08 00:57:00, SI=1, It_no=0, Feval_no=3, FOM=0.036332288915120234
2019-03-08 00:57:02, SI=1, It_no=0, Feval_no=4, FOM=0.001403923222700268
2019-03-08 00:57:04, SI=1, It_no=0, Feval_no=5, FOM=0.02940144566274541
2019-03-08 00:57:06, SI=1, It_no=1, Feval_no=6, FOM=0.014202522881556897
2019-03-08 00:57:08, SI=1, It_no=2, Feval_no=7, FOM=0.015664153413502458
2019-03-08 00:57:09, SI=1, It_no=3, Feval_no=8, FOM=0.008197567062088731
2019-03-08 00:57:11, SI=1, It_no=3, Feval_no=9, FOM=0.011908554973852818
2019-03-08 00:57:13, SI=1, It_no=3, Feval_no=10, FOM=0.003950654608811027
2019-03-08 00:57:15, SI=1, It_no=3, Feval_no=11, FOM=0.0044530531260502755
2019-03-08 00:57:17, SI=1, It_no=3, Feval_no=12, FOM=0.010934057360459139
2019-03-08 00:57:18, SI=1, It_no=3, Feval_no=13, FOM=0.012119963792815323
2019-03-08 00:57:21, SI=1, It_no=4, Feval_no=14, FOM=0.027852027081764322
2019-03-08 00:57:22, SI=1, It_no=5, Feval_no=15, FOM=0.04050785955803267
2019-03-08 00:57:24, SI=1, It_no=5, Feval_no=16, FOM=0.06120262806072446
2019-03-08 00:57:26, SI=1, It_no=6, Feval_no=17, FOM=0.05808573470265162
2019-03-08 00:57:28, SI=1, It_no=7, Feval_no=18, FOM=0.08576124365680848
2019-03-08 00:57:30, SI=1, It_no=7, Feval_no=19, FOM=0.1333713916549042
2019-03-08 00:57:32, SI=1, It_no=8, Feval_no=20, FOM=0.11604552261630553
2019-03-08 00:57:34, SI=1, It_no=9, Feval_no=21, FOM=0.15042773324548467
2019-03-08 00:57:35, SI=1, It_no=9, Feval_no=22, FOM=0.20281186362239387
2019-03-08 00:57:38, SI=1, It_no=10, Feval_no=23, FOM=0.20456615566220981
2019-03-08 00:57:39, SI=1, It_no=10, Feval_no=24, FOM=0.2676681996936938
2019-03-08 00:57:41, SI=1, It_no=11, Feval_no=25, FOM=0.2833426666355766
2019-03-08 00:57:43, SI=1, It_no=11, Feval_no=26, FOM=0.42289335434359115
2019-03-08 00:57:45, SI=1, It_no=12, Feval_no=27, FOM=0.4074216397541819
