Figure of merit results from optimization:
2019-03-07 16:35:08, SI=1, It_no=0, Feval_no=1, FOM=0.0
2019-03-07 16:35:10, SI=1, It_no=0, Feval_no=2, FOM=0.0032089505224071903
2019-03-07 16:35:11, SI=1, It_no=0, Feval_no=3, FOM=0.007740724057341857
2019-03-07 16:35:12, SI=1, It_no=0, Feval_no=4, FOM=0.004244636389314407
2019-03-07 16:35:14, SI=1, It_no=0, Feval_no=5, FOM=0.02086680138823601
2019-03-07 16:35:15, SI=1, It_no=1, Feval_no=6, FOM=0.02234212957757346
2019-03-07 16:35:17, SI=1, It_no=1, Feval_no=7, FOM=0.007781068093465903
2019-03-07 16:35:18, SI=1, It_no=2, Feval_no=8, FOM=0.014907666308288797
2019-03-07 16:35:20, SI=1, It_no=2, Feval_no=9, FOM=0.0020731892309054025
2019-03-07 16:35:21, SI=1, It_no=3, Feval_no=10, FOM=0.0032562847430366434
2019-03-07 16:35:23, SI=1, It_no=4, Feval_no=11, FOM=0.0021905005528481984
2019-03-07 16:35:24, SI=1, It_no=5, Feval_no=12, FOM=0.0024018068055489507
2019-03-07 16:35:26, SI=1, It_no=6, Feval_no=13, FOM=0.007409466985236854
2019-03-07 16:35:27, SI=1, It_no=6, Feval_no=14, FOM=0.000870598342576002
2019-03-07 16:35:28, SI=1, It_no=7, Feval_no=15, FOM=0.0031293497039997275
2019-03-07 16:35:30, SI=1, It_no=7, Feval_no=16, FOM=0.0016679915952188087
2019-03-07 16:35:31, SI=1, It_no=8, Feval_no=17, FOM=0.008668521007775199
2019-03-07 16:35:33, SI=1, It_no=8, Feval_no=18, FOM=0.006813102021298946
2019-03-07 16:35:34, SI=1, It_no=8, Feval_no=19, FOM=0.0006541933986857887
2019-03-07 16:35:36, SI=1, It_no=8, Feval_no=20, FOM=0.0011501292948999022
2019-03-07 16:35:37, SI=1, It_no=8, Feval_no=21, FOM=0.0014292988655005786
2019-03-07 16:35:39, SI=1, It_no=8, Feval_no=22, FOM=0.0013865563610192095
2019-03-07 16:35:40, SI=1, It_no=9, Feval_no=23, FOM=0.00471748201744313
2019-03-07 16:35:42, SI=1, It_no=9, Feval_no=24, FOM=0.0017142017930084903
2019-03-07 16:35:43, SI=1, It_no=9, Feval_no=25, FOM=0.00020419146525235172
2019-03-07 16:35:45, SI=1, It_no=9, Feval_no=26, FOM=0.0014272259854064637
2019-03-07 16:35:46, SI=1, It_no=9, Feval_no=27, FOM=0.004056669896875951
2019-03-07 16:35:48, SI=1, It_no=9, Feval_no=28, FOM=0.0005395974988577132
2019-03-07 16:35:49, SI=1, It_no=10, Feval_no=29, FOM=0.003299357453804922
2019-03-07 16:35:51, SI=1, It_no=10, Feval_no=30, FOM=0.0010972967047471018
2019-03-07 16:35:52, SI=1, It_no=11, Feval_no=31, FOM=0.0012324187760843065
2019-03-07 16:35:53, SI=1, It_no=11, Feval_no=32, FOM=4.373445758597996e-05
2019-03-07 16:35:55, SI=1, It_no=12, Feval_no=33, FOM=0.0015361600570900154
2019-03-07 16:35:56, SI=1, It_no=12, Feval_no=34, FOM=0.00026866651735896874
2019-03-07 16:35:58, SI=1, It_no=13, Feval_no=35, FOM=0.0005636619678744079
2019-03-07 16:35:59, SI=1, It_no=13, Feval_no=36, FOM=0.0001708431304461384
2019-03-07 16:36:01, SI=1, It_no=14, Feval_no=37, FOM=0.0002687227972517261
2019-03-07 16:36:02, SI=1, It_no=14, Feval_no=38, FOM=0.0008533941541032338
2019-03-07 16:36:04, SI=1, It_no=14, Feval_no=39, FOM=0.000265666666640321
2019-03-07 16:36:05, SI=1, It_no=14, Feval_no=40, FOM=6.456581157767764e-05
2019-03-07 16:36:07, SI=1, It_no=14, Feval_no=41, FOM=0.0001519327921082102
2019-03-07 16:36:08, SI=1, It_no=14, Feval_no=42, FOM=0.00022623682119088682
2019-03-07 16:36:10, SI=1, It_no=15, Feval_no=43, FOM=0.000496999243067235
2019-03-07 16:36:11, SI=1, It_no=15, Feval_no=44, FOM=6.125916638014309e-05
2019-03-07 16:36:13, SI=1, It_no=16, Feval_no=45, FOM=0.00033028230415193383
2019-03-07 16:36:14, SI=1, It_no=16, Feval_no=46, FOM=8.161200251625151e-05
2019-03-07 16:36:16, SI=1, It_no=17, Feval_no=47, FOM=9.364162429434974e-05
2019-03-07 16:36:17, SI=1, It_no=17, Feval_no=48, FOM=0.00039544235119852266
