Figure of merit results from optimization:
2019-03-07 17:12:31, SI=1, It_no=0, Feval_no=1, FOM=1.0
2019-03-07 17:12:32, SI=1, It_no=0, Feval_no=2, FOM=0.8416962233486587
2019-03-07 17:12:34, SI=1, It_no=0, Feval_no=3, FOM=0.4643897839491413
2019-03-07 17:12:35, SI=1, It_no=0, Feval_no=4, FOM=0.8653291532026597
2019-03-07 17:12:37, SI=1, It_no=0, Feval_no=5, FOM=0.4951483458234128
2019-03-07 17:12:39, SI=1, It_no=1, Feval_no=6, FOM=0.7417064276744826
2019-03-07 17:12:40, SI=1, It_no=2, Feval_no=7, FOM=0.7138685191172385
2019-03-07 17:12:42, SI=1, It_no=3, Feval_no=8, FOM=0.42824482742450065
2019-03-07 17:12:43, SI=1, It_no=3, Feval_no=9, FOM=0.5631511035640573
2019-03-07 17:12:45, SI=1, It_no=4, Feval_no=10, FOM=0.6859732722998151
2019-03-07 17:12:46, SI=1, It_no=5, Feval_no=11, FOM=0.5035185624832305
2019-03-07 17:12:48, SI=1, It_no=6, Feval_no=12, FOM=0.43509885171169516
2019-03-07 17:12:49, SI=1, It_no=7, Feval_no=13, FOM=0.4244958773857427
2019-03-07 17:12:51, SI=1, It_no=7, Feval_no=14, FOM=0.42879448201130177
2019-03-07 17:12:52, SI=1, It_no=8, Feval_no=15, FOM=0.9435419387563125
2019-03-07 17:12:54, SI=1, It_no=8, Feval_no=16, FOM=0.9780143242423333
2019-03-07 17:12:55, SI=1, It_no=8, Feval_no=17, FOM=0.9363552004501374
2019-03-07 17:12:57, SI=1, It_no=8, Feval_no=18, FOM=0.9162771703114042
2019-03-07 17:12:58, SI=1, It_no=8, Feval_no=19, FOM=0.8675961846584772
2019-03-07 17:12:59, SI=1, It_no=8, Feval_no=20, FOM=0.8320814483947181
2019-03-07 17:13:01, SI=1, It_no=9, Feval_no=21, FOM=0.71304965504033
2019-03-07 17:13:02, SI=1, It_no=10, Feval_no=22, FOM=0.5530217029893589
2019-03-07 17:13:04, SI=1, It_no=11, Feval_no=23, FOM=0.9772934185232979
2019-03-07 17:13:05, SI=1, It_no=11, Feval_no=24, FOM=0.5239707385797836
2019-03-07 17:13:07, SI=1, It_no=12, Feval_no=25, FOM=0.45038038202168174
2019-03-07 17:13:08, SI=1, It_no=13, Feval_no=26, FOM=0.5817272588837178
2019-03-07 17:13:10, SI=1, It_no=13, Feval_no=27, FOM=0.4232362159554167
2019-03-07 17:13:11, SI=1, It_no=14, Feval_no=28, FOM=0.5996003407098782
2019-03-07 17:13:13, SI=1, It_no=14, Feval_no=29, FOM=0.4241325811379433
2019-03-07 17:13:14, SI=1, It_no=15, Feval_no=30, FOM=0.5906631660328314
2019-03-07 17:13:16, SI=1, It_no=15, Feval_no=31, FOM=0.5396458954882082
2019-03-07 17:13:17, SI=1, It_no=15, Feval_no=32, FOM=0.42266954868012874
2019-03-07 17:13:19, SI=1, It_no=15, Feval_no=33, FOM=0.4238112624571245
2019-03-07 17:13:20, SI=1, It_no=15, Feval_no=34, FOM=0.8955829723422708
2019-03-07 17:13:22, SI=1, It_no=15, Feval_no=35, FOM=0.44467981365319775
2019-03-07 17:13:23, SI=1, It_no=16, Feval_no=36, FOM=0.8473633999618029
2019-03-07 17:13:24, SI=1, It_no=16, Feval_no=37, FOM=0.5328021059369465
2019-03-07 17:13:26, SI=1, It_no=17, Feval_no=38, FOM=0.5648399029113944
2019-03-07 17:13:27, SI=1, It_no=17, Feval_no=39, FOM=0.446777262946369
2019-03-07 17:13:29, SI=1, It_no=18, Feval_no=40, FOM=0.4646101386303195
2019-03-07 17:13:30, SI=1, It_no=18, Feval_no=41, FOM=0.42705712879288016
2019-03-07 17:13:32, SI=1, It_no=19, Feval_no=42, FOM=0.4662900481966409
2019-03-07 17:13:33, SI=1, It_no=19, Feval_no=43, FOM=0.4262279852264065
2019-03-07 17:13:35, SI=1, It_no=20, Feval_no=44, FOM=0.42739917814006834
2019-03-07 17:13:36, SI=1, It_no=20, Feval_no=45, FOM=0.423672427591711
2019-03-07 17:13:38, SI=1, It_no=21, Feval_no=46, FOM=0.4330371965493809
2019-03-07 17:13:39, SI=1, It_no=21, Feval_no=47, FOM=0.4229302576953565
2019-03-07 17:13:40, SI=1, It_no=22, Feval_no=48, FOM=0.4229545934837622
2019-03-07 17:13:42, SI=1, It_no=23, Feval_no=49, FOM=0.4243590426806837
2019-03-07 17:13:43, SI=1, It_no=23, Feval_no=50, FOM=0.4227779601638336
2019-03-07 17:13:45, SI=2, It_no=0, Feval_no=1, FOM=0.42266954868012874
2019-03-07 17:13:46, SI=2, It_no=0, Feval_no=2, FOM=0.4353964020456904
2019-03-07 17:13:48, SI=2, It_no=0, Feval_no=3, FOM=0.42296834557627283
2019-03-07 17:13:49, SI=2, It_no=0, Feval_no=4, FOM=0.42468649356380317
2019-03-07 17:13:51, SI=2, It_no=0, Feval_no=5, FOM=0.42468031504465087
2019-03-07 17:13:52, SI=2, It_no=1, Feval_no=6, FOM=0.44849293151211433
2019-03-07 17:13:54, SI=2, It_no=1, Feval_no=7, FOM=0.42461824495194345
2019-03-07 17:13:55, SI=2, It_no=2, Feval_no=8, FOM=0.4241124690151966
2019-03-07 17:13:57, SI=2, It_no=3, Feval_no=9, FOM=0.4294050470040395
2019-03-07 17:13:58, SI=2, It_no=3, Feval_no=10, FOM=0.42285226804602516
2019-03-07 17:13:59, SI=2, It_no=4, Feval_no=11, FOM=0.42378077540739534
2019-03-07 17:14:01, SI=2, It_no=5, Feval_no=12, FOM=0.4277312635605577
2019-03-07 17:14:02, SI=2, It_no=5, Feval_no=13, FOM=0.4227880395770628
2019-03-07 17:14:05, SI=2, It_no=6, Feval_no=14, FOM=0.4234048247646456
2019-03-07 17:14:08, SI=2, It_no=6, Feval_no=15, FOM=0.4227997204479139
2019-03-07 17:14:10, SI=2, It_no=7, Feval_no=16, FOM=0.42327148707541395
2019-03-07 17:14:11, SI=2, It_no=7, Feval_no=17, FOM=0.4226999229151287
2019-03-07 17:14:13, SI=2, It_no=8, Feval_no=18, FOM=0.4233090018638933
2019-03-07 17:14:14, SI=2, It_no=8, Feval_no=19, FOM=0.422659682019597
2019-03-07 17:14:16, SI=2, It_no=9, Feval_no=20, FOM=0.4227191084601507
2019-03-07 17:14:17, SI=2, It_no=10, Feval_no=21, FOM=0.4230294716234603
2019-03-07 17:14:19, SI=2, It_no=10, Feval_no=22, FOM=0.42264181860407013
2019-03-07 17:14:20, SI=2, It_no=11, Feval_no=23, FOM=0.42268442748247337
2019-03-07 17:14:21, SI=2, It_no=12, Feval_no=24, FOM=0.42283758244200986
2019-03-07 17:14:23, SI=2, It_no=12, Feval_no=25, FOM=0.42264579307232386
2019-03-07 17:14:24, SI=2, It_no=13, Feval_no=26, FOM=0.4227729539139411
2019-03-07 17:14:26, SI=2, It_no=13, Feval_no=27, FOM=0.4226607040627013
2019-03-07 17:14:27, SI=2, It_no=14, Feval_no=28, FOM=0.4225680760938203
2019-03-07 17:14:29, SI=2, It_no=14, Feval_no=29, FOM=0.4226965480968289
2019-03-07 17:14:31, SI=2, It_no=15, Feval_no=30, FOM=0.42260707191620006
2019-03-07 17:14:32, SI=2, It_no=16, Feval_no=31, FOM=0.4225838598262358
2019-03-07 17:14:33, SI=2, It_no=17, Feval_no=32, FOM=0.42259435454117356
2019-03-07 17:14:35, SI=2, It_no=18, Feval_no=33, FOM=0.42270518147324965
2019-03-07 17:14:36, SI=2, It_no=18, Feval_no=34, FOM=0.42256718693208284
2019-03-07 17:14:38, SI=2, It_no=19, Feval_no=35, FOM=0.4226515964046058
2019-03-07 17:14:39, SI=2, It_no=19, Feval_no=36, FOM=0.4226049012977572
2019-03-07 17:14:41, SI=2, It_no=20, Feval_no=37, FOM=0.42258193083356377
2019-03-07 17:14:42, SI=2, It_no=21, Feval_no=38, FOM=0.42260640951966577
2019-03-07 17:14:44, SI=2, It_no=21, Feval_no=39, FOM=0.4225945190313791
2019-03-07 17:14:45, SI=2, It_no=21, Feval_no=40, FOM=0.4227579735197723
2019-03-07 17:14:47, SI=2, It_no=21, Feval_no=41, FOM=0.4225363041178418
2019-03-07 17:14:48, SI=2, It_no=21, Feval_no=42, FOM=0.4225640282414215
2019-03-07 17:14:50, SI=2, It_no=21, Feval_no=43, FOM=0.42257025809741955
2019-03-07 17:14:51, SI=3, It_no=0, Feval_no=1, FOM=0.4225363041178418
2019-03-07 17:14:52, SI=3, It_no=0, Feval_no=2, FOM=0.7242595895697941
2019-03-07 17:14:54, SI=3, It_no=0, Feval_no=3, FOM=0.9044461561334023
2019-03-07 17:14:55, SI=3, It_no=0, Feval_no=4, FOM=0.8868085037731874
2019-03-07 17:14:57, SI=3, It_no=0, Feval_no=5, FOM=0.6948676479967573
2019-03-07 17:14:58, SI=3, It_no=1, Feval_no=6, FOM=0.7257091488101473
2019-03-07 17:15:00, SI=3, It_no=2, Feval_no=7, FOM=0.46158572368029005
2019-03-07 17:15:01, SI=3, It_no=3, Feval_no=8, FOM=0.5609332395277807
2019-03-07 17:15:03, SI=3, It_no=4, Feval_no=9, FOM=0.5010298728089424
2019-03-07 17:15:04, SI=3, It_no=5, Feval_no=10, FOM=0.860653875656194
2019-03-07 17:15:06, SI=3, It_no=5, Feval_no=11, FOM=0.825918485512729
2019-03-07 17:15:07, SI=3, It_no=5, Feval_no=12, FOM=0.43225655144008024
2019-03-07 17:15:09, SI=3, It_no=5, Feval_no=13, FOM=0.44230367092246814
2019-03-07 17:15:10, SI=3, It_no=5, Feval_no=14, FOM=0.45793693144209047
2019-03-07 17:15:11, SI=3, It_no=5, Feval_no=15, FOM=0.719156541239745
2019-03-07 17:15:13, SI=3, It_no=6, Feval_no=16, FOM=0.5445149015944168
2019-03-07 17:15:15, SI=3, It_no=6, Feval_no=17, FOM=0.4382041092529375
2019-03-07 17:15:16, SI=3, It_no=7, Feval_no=18, FOM=0.43989065722156195
2019-03-07 17:15:18, SI=3, It_no=8, Feval_no=19, FOM=0.4706500336552272
2019-03-07 17:15:19, SI=3, It_no=8, Feval_no=20, FOM=0.42538135620017503
2019-03-07 17:15:21, SI=3, It_no=9, Feval_no=21, FOM=0.44318873626331334
2019-03-07 17:15:22, SI=3, It_no=9, Feval_no=22, FOM=0.42674530083093576
2019-03-07 17:15:24, SI=3, It_no=10, Feval_no=23, FOM=0.4507692086505012
2019-03-07 17:15:25, SI=3, It_no=10, Feval_no=24, FOM=0.4254116390600584
2019-03-07 17:15:27, SI=3, It_no=11, Feval_no=25, FOM=0.43990578039857986
2019-03-07 17:15:28, SI=3, It_no=11, Feval_no=26, FOM=0.4243310854496998
2019-03-07 17:15:30, SI=4, It_no=0, Feval_no=1, FOM=0.4225363041178418
2019-03-07 17:15:32, SI=4, It_no=0, Feval_no=2, FOM=0.4469149845398288
2019-03-07 17:15:33, SI=4, It_no=0, Feval_no=3, FOM=0.690653893253488
2019-03-07 17:15:34, SI=4, It_no=0, Feval_no=4, FOM=0.44849397483858533
2019-03-07 17:15:36, SI=4, It_no=0, Feval_no=5, FOM=0.4933441850344328
2019-03-07 17:15:37, SI=4, It_no=1, Feval_no=6, FOM=0.9881307425571035
2019-03-07 17:15:39, SI=4, It_no=1, Feval_no=7, FOM=0.46112963654054107
2019-03-07 17:15:40, SI=4, It_no=2, Feval_no=8, FOM=0.7792112732469014
2019-03-07 17:15:42, SI=4, It_no=2, Feval_no=9, FOM=0.9336234539696207
2019-03-07 17:15:43, SI=4, It_no=2, Feval_no=10, FOM=0.9182935688754531
2019-03-07 17:15:45, SI=4, It_no=2, Feval_no=11, FOM=0.42899209216318657
2019-03-07 17:15:46, SI=4, It_no=2, Feval_no=12, FOM=0.43255789818852675
2019-03-07 17:15:47, SI=4, It_no=2, Feval_no=13, FOM=0.8584342102104154
2019-03-07 17:15:49, SI=4, It_no=3, Feval_no=14, FOM=0.6083391826760098
2019-03-07 17:15:50, SI=4, It_no=4, Feval_no=15, FOM=0.5511819947437626
2019-03-07 17:15:52, SI=4, It_no=5, Feval_no=16, FOM=0.483759623451404
2019-03-07 17:15:53, SI=4, It_no=6, Feval_no=17, FOM=0.5504905420256642
2019-03-07 17:15:55, SI=4, It_no=6, Feval_no=18, FOM=0.5508390528700713
2019-03-07 17:15:56, SI=4, It_no=6, Feval_no=19, FOM=0.42428148894464723
2019-03-07 17:15:58, SI=4, It_no=6, Feval_no=20, FOM=0.4251117808326297
2019-03-07 17:15:59, SI=4, It_no=6, Feval_no=21, FOM=0.8675301484552645
2019-03-07 17:16:01, SI=4, It_no=6, Feval_no=22, FOM=0.45591070424641733
2019-03-07 17:16:02, SI=4, It_no=7, Feval_no=23, FOM=0.7685513773539951
2019-03-07 17:16:04, SI=4, It_no=7, Feval_no=24, FOM=0.5027427409284146
2019-03-07 17:16:05, SI=4, It_no=8, Feval_no=25, FOM=0.564634170616402
2019-03-07 17:16:07, SI=4, It_no=8, Feval_no=26, FOM=0.4364955629531466
2019-03-07 17:16:08, SI=5, It_no=0, Feval_no=1, FOM=0.4225363041178418
2019-03-07 17:16:09, SI=5, It_no=0, Feval_no=2, FOM=0.47359442837885735
2019-03-07 17:16:11, SI=5, It_no=0, Feval_no=3, FOM=0.5239753048140426
2019-03-07 17:16:12, SI=5, It_no=0, Feval_no=4, FOM=0.4473158506877334
2019-03-07 17:16:14, SI=5, It_no=0, Feval_no=5, FOM=0.4813693720813538
2019-03-07 17:16:15, SI=5, It_no=1, Feval_no=6, FOM=0.5812054362353214
2019-03-07 17:16:17, SI=5, It_no=1, Feval_no=7, FOM=0.44205129433624823
2019-03-07 17:16:18, SI=5, It_no=2, Feval_no=8, FOM=0.5404885662396669
2019-03-07 17:16:20, SI=5, It_no=2, Feval_no=9, FOM=0.43178990728218114
2019-03-07 17:16:21, SI=5, It_no=3, Feval_no=10, FOM=0.5026214552811614
2019-03-07 17:16:23, SI=5, It_no=3, Feval_no=11, FOM=0.4323140539978966
2019-03-07 17:16:24, SI=5, It_no=4, Feval_no=12, FOM=0.4722475515522476
2019-03-07 17:16:25, SI=5, It_no=4, Feval_no=13, FOM=0.4261150445245748
2019-03-07 17:16:27, SI=5, It_no=5, Feval_no=14, FOM=0.45072667332033334
2019-03-07 17:16:28, SI=5, It_no=5, Feval_no=15, FOM=0.42642302827173706
2019-03-07 17:16:30, SI=5, It_no=6, Feval_no=16, FOM=0.4444365117320651
2019-03-07 17:16:31, SI=5, It_no=6, Feval_no=17, FOM=0.42401481895732207
2019-03-07 17:16:33, SI=5, It_no=7, Feval_no=18, FOM=0.4359084625203359
2019-03-07 17:16:34, SI=5, It_no=7, Feval_no=19, FOM=0.42419632595062784
2019-03-07 17:16:36, SI=5, It_no=8, Feval_no=20, FOM=0.4315061789936221
2019-03-07 17:16:37, SI=5, It_no=8, Feval_no=21, FOM=0.42302221795614636
2019-03-07 17:16:39, SI=5, It_no=9, Feval_no=22, FOM=0.42728201143135913
2019-03-07 17:16:40, SI=5, It_no=9, Feval_no=23, FOM=0.4233206930772082
2019-03-07 17:16:42, SI=5, It_no=10, Feval_no=24, FOM=0.426035660019321
2019-03-07 17:16:43, SI=5, It_no=10, Feval_no=25, FOM=0.4227837677695627
2019-03-07 17:16:45, SI=6, It_no=0, Feval_no=1, FOM=0.4225363041178418
2019-03-07 17:16:46, SI=6, It_no=0, Feval_no=2, FOM=0.47345639667823625
