Figure of merit results from optimization:
2019-03-07 16:54:08, SI=1, It_no=0, Feval_no=1, FOM=0.0
2019-03-07 16:54:09, SI=1, It_no=0, Feval_no=2, FOM=0.2909027827003366
2019-03-07 16:54:11, SI=1, It_no=0, Feval_no=3, FOM=0.063130622703252
2019-03-07 16:54:12, SI=1, It_no=0, Feval_no=4, FOM=0.5439032964348666
2019-03-07 16:54:14, SI=1, It_no=0, Feval_no=5, FOM=0.23065461287043895
2019-03-07 16:54:15, SI=1, It_no=1, Feval_no=6, FOM=0.045221322718109795
2019-03-07 16:54:17, SI=1, It_no=1, Feval_no=7, FOM=0.038394835475091614
2019-03-07 16:54:18, SI=1, It_no=1, Feval_no=8, FOM=0.5377474875328692
2019-03-07 16:54:19, SI=1, It_no=1, Feval_no=9, FOM=0.526040507899867
2019-03-07 16:54:21, SI=1, It_no=1, Feval_no=10, FOM=0.30860476449566415
2019-03-07 16:54:22, SI=1, It_no=1, Feval_no=11, FOM=0.46658762433963535
2019-03-07 16:54:24, SI=1, It_no=2, Feval_no=12, FOM=0.005595764122096116
2019-03-07 16:54:25, SI=1, It_no=2, Feval_no=13, FOM=0.2138182632572325
2019-03-07 16:54:27, SI=1, It_no=2, Feval_no=14, FOM=0.5777414268438138
2019-03-07 16:54:28, SI=1, It_no=2, Feval_no=15, FOM=0.5776863148160916
2019-03-07 16:54:30, SI=1, It_no=2, Feval_no=16, FOM=0.5640087050137659
2019-03-07 16:54:31, SI=1, It_no=2, Feval_no=17, FOM=0.3824245847986511
2019-03-07 16:54:32, SI=1, It_no=3, Feval_no=18, FOM=0.326929750776136
2019-03-07 16:54:34, SI=1, It_no=3, Feval_no=19, FOM=0.5332934770808941
2019-03-07 16:54:35, SI=1, It_no=4, Feval_no=20, FOM=0.527630896858636
2019-03-07 16:54:36, SI=1, It_no=4, Feval_no=21, FOM=0.5609709109106769
2019-03-07 16:54:38, SI=1, It_no=5, Feval_no=22, FOM=0.4979354946399511
2019-03-07 16:54:39, SI=1, It_no=5, Feval_no=23, FOM=0.5773018188575146
2019-03-07 16:54:41, SI=1, It_no=6, Feval_no=24, FOM=0.5731806078857082
2019-03-07 16:54:42, SI=1, It_no=7, Feval_no=25, FOM=0.5630995174922074
2019-03-07 16:54:43, SI=1, It_no=7, Feval_no=26, FOM=0.5772572843622173
2019-03-07 16:54:45, SI=1, It_no=8, Feval_no=27, FOM=0.5711458890750052
2019-03-07 16:54:46, SI=1, It_no=8, Feval_no=28, FOM=0.5779278985107225
2019-03-07 16:54:48, SI=1, It_no=9, Feval_no=29, FOM=0.5762821118306882
2019-03-07 16:54:49, SI=1, It_no=9, Feval_no=30, FOM=0.5767544624667558
2019-03-07 16:54:50, SI=1, It_no=9, Feval_no=31, FOM=0.5781730958263661
2019-03-07 16:54:52, SI=1, It_no=9, Feval_no=32, FOM=0.5781873889021312
2019-03-07 16:54:54, SI=1, It_no=9, Feval_no=33, FOM=0.5743597184258628
2019-03-07 16:54:55, SI=1, It_no=9, Feval_no=34, FOM=0.577573188236855
2019-03-07 16:54:56, SI=1, It_no=10, Feval_no=35, FOM=0.5775363822428176
2019-03-07 16:54:58, SI=1, It_no=10, Feval_no=36, FOM=0.5779241846256661
2019-03-07 16:54:59, SI=1, It_no=11, Feval_no=37, FOM=0.57796322374548
2019-03-07 16:55:01, SI=1, It_no=12, Feval_no=38, FOM=0.5715177663760559
2019-03-07 16:55:02, SI=1, It_no=12, Feval_no=39, FOM=0.5765576187801674
2019-03-07 16:55:04, SI=1, It_no=12, Feval_no=40, FOM=0.5774346264661279
2019-03-07 16:55:05, SI=1, It_no=12, Feval_no=41, FOM=0.5770343691083125
2019-03-07 16:55:07, SI=1, It_no=12, Feval_no=42, FOM=0.5781549814776817
2019-03-07 16:55:08, SI=1, It_no=12, Feval_no=43, FOM=0.5772216810503711
2019-03-07 16:55:10, SI=1, It_no=13, Feval_no=44, FOM=0.5781117147676553
2019-03-07 16:55:11, SI=1, It_no=14, Feval_no=45, FOM=0.5756861114557781
2019-03-07 16:55:13, SI=1, It_no=14, Feval_no=46, FOM=0.5755021368703095
2019-03-07 16:55:14, SI=1, It_no=14, Feval_no=47, FOM=0.5778860001089159
2019-03-07 16:55:16, SI=1, It_no=14, Feval_no=48, FOM=0.5783397033118712
2019-03-07 16:55:17, SI=1, It_no=14, Feval_no=49, FOM=0.5751238734113062
2019-03-07 16:55:18, SI=1, It_no=14, Feval_no=50, FOM=0.5764152945489359
2019-03-07 16:55:20, SI=2, It_no=0, Feval_no=1, FOM=0.5783397033118712
2019-03-07 16:55:22, SI=2, It_no=0, Feval_no=2, FOM=0.5634337369155454
2019-03-07 16:55:23, SI=2, It_no=0, Feval_no=3, FOM=0.5783447729101097
2019-03-07 16:55:24, SI=2, It_no=0, Feval_no=4, FOM=0.5776656829933862
2019-03-07 16:55:26, SI=2, It_no=0, Feval_no=5, FOM=0.5699462216519293
2019-03-07 16:55:27, SI=2, It_no=1, Feval_no=6, FOM=0.5752563864007173
2019-03-07 16:55:29, SI=2, It_no=2, Feval_no=7, FOM=0.5592579799959088
2019-03-07 16:55:30, SI=2, It_no=2, Feval_no=8, FOM=0.5779303809015262
2019-03-07 16:55:32, SI=2, It_no=3, Feval_no=9, FOM=0.56673003766481
2019-03-07 16:55:33, SI=2, It_no=3, Feval_no=10, FOM=0.5770569527159684
2019-03-07 16:55:34, SI=2, It_no=4, Feval_no=11, FOM=0.5712991260000663
2019-03-07 16:55:36, SI=2, It_no=4, Feval_no=12, FOM=0.5790684574644793
2019-03-07 16:55:37, SI=2, It_no=5, Feval_no=13, FOM=0.5771963851050045
2019-03-07 16:55:38, SI=2, It_no=5, Feval_no=14, FOM=0.578487887479629
2019-03-07 16:55:40, SI=2, It_no=6, Feval_no=15, FOM=0.5765139170769561
2019-03-07 16:55:41, SI=2, It_no=6, Feval_no=16, FOM=0.5721192178872223
2019-03-07 16:55:43, SI=2, It_no=6, Feval_no=17, FOM=0.5771497994734366
2019-03-07 16:55:44, SI=2, It_no=6, Feval_no=18, FOM=0.5785705683875224
2019-03-07 16:55:46, SI=2, It_no=6, Feval_no=19, FOM=0.5755911509379505
2019-03-07 16:55:47, SI=2, It_no=6, Feval_no=20, FOM=0.5762844438070299
2019-03-07 16:55:49, SI=2, It_no=7, Feval_no=21, FOM=0.5763527792147102
2019-03-07 16:55:50, SI=2, It_no=8, Feval_no=22, FOM=0.5758150103278732
2019-03-07 16:55:52, SI=2, It_no=8, Feval_no=23, FOM=0.5724004521943711
2019-03-07 16:55:53, SI=2, It_no=8, Feval_no=24, FOM=0.5779432016518198
2019-03-07 16:55:54, SI=2, It_no=8, Feval_no=25, FOM=0.5737981794012014
2019-03-07 16:55:56, SI=2, It_no=8, Feval_no=26, FOM=0.5780504601296229
2019-03-07 16:55:57, SI=2, It_no=8, Feval_no=27, FOM=0.5759349786382998
2019-03-07 16:55:59, SI=2, It_no=9, Feval_no=28, FOM=0.5753820664310899
2019-03-07 16:56:01, SI=2, It_no=9, Feval_no=29, FOM=0.5774960592260446
2019-03-07 16:56:02, SI=2, It_no=10, Feval_no=30, FOM=0.5766956856084346
2019-03-07 16:56:04, SI=2, It_no=10, Feval_no=31, FOM=0.5771865306605288
2019-03-07 16:56:05, SI=2, It_no=11, Feval_no=32, FOM=0.5764511966118344
2019-03-07 16:56:06, SI=2, It_no=11, Feval_no=33, FOM=0.5751307868475147
2019-03-07 16:56:08, SI=2, It_no=11, Feval_no=34, FOM=0.5790385283938052
2019-03-07 16:56:09, SI=2, It_no=11, Feval_no=35, FOM=0.5754556640332971
2019-03-07 16:56:11, SI=2, It_no=11, Feval_no=36, FOM=0.5762909142890646
2019-03-07 16:56:12, SI=2, It_no=11, Feval_no=37, FOM=0.5757082138850398
2019-03-07 16:56:14, SI=2, It_no=12, Feval_no=38, FOM=0.5724196436398177
