Figure of merit results from optimization:
2019-03-07 16:39:29, SI=1, It_no=0, Feval_no=1, FOM=0.0
2019-03-07 16:39:30, SI=1, It_no=0, Feval_no=2, FOM=0.023457017250873062
2019-03-07 16:39:32, SI=1, It_no=0, Feval_no=3, FOM=0.017791109202167258
2019-03-07 16:39:33, SI=1, It_no=0, Feval_no=4, FOM=0.08792870293311603
2019-03-07 16:39:35, SI=1, It_no=0, Feval_no=5, FOM=0.005294382785395857
2019-03-07 16:39:36, SI=1, It_no=1, Feval_no=6, FOM=0.04655910544438245
2019-03-07 16:39:38, SI=1, It_no=2, Feval_no=7, FOM=0.09057971912632942
2019-03-07 16:39:39, SI=1, It_no=2, Feval_no=8, FOM=0.12683091061846805
2019-03-07 16:39:40, SI=1, It_no=3, Feval_no=9, FOM=0.12345141658913845
2019-03-07 16:39:42, SI=1, It_no=4, Feval_no=10, FOM=0.17607598222115164
2019-03-07 16:39:43, SI=1, It_no=4, Feval_no=11, FOM=0.22746446966413997
2019-03-07 16:39:45, SI=1, It_no=5, Feval_no=12, FOM=0.21998844474740054
2019-03-07 16:39:46, SI=1, It_no=6, Feval_no=13, FOM=0.28221140588201116
2019-03-07 16:39:48, SI=1, It_no=6, Feval_no=14, FOM=0.34531135813065317
2019-03-07 16:39:49, SI=1, It_no=7, Feval_no=15, FOM=0.31420854045003305
2019-03-07 16:39:51, SI=1, It_no=8, Feval_no=16, FOM=0.4092179014231634
2019-03-07 16:39:52, SI=1, It_no=8, Feval_no=17, FOM=0.5042852531673622
2019-03-07 16:39:54, SI=1, It_no=9, Feval_no=18, FOM=0.4739416802959696
2019-03-07 16:39:55, SI=1, It_no=10, Feval_no=19, FOM=0.5515217335719214
2019-03-07 16:39:57, SI=1, It_no=10, Feval_no=20, FOM=0.5768816641623098
2019-03-07 16:39:58, SI=1, It_no=11, Feval_no=21, FOM=0.5748054253649161
2019-03-07 16:40:00, SI=1, It_no=12, Feval_no=22, FOM=0.5224683166624379
2019-03-07 16:40:02, SI=1, It_no=13, Feval_no=23, FOM=0.48271077515746885
2019-03-07 16:40:03, SI=1, It_no=13, Feval_no=24, FOM=0.539528663825582
2019-03-07 16:40:05, SI=1, It_no=14, Feval_no=25, FOM=0.2923347888985196
2019-03-07 16:40:06, SI=1, It_no=14, Feval_no=26, FOM=0.5705497062352948
2019-03-07 16:40:08, SI=1, It_no=15, Feval_no=27, FOM=0.5571010707501324
2019-03-07 16:40:09, SI=1, It_no=16, Feval_no=28, FOM=0.5234057541165742
2019-03-07 16:40:11, SI=1, It_no=16, Feval_no=29, FOM=0.5683089426223976
2019-03-07 16:40:13, SI=1, It_no=17, Feval_no=30, FOM=0.5487900087007664
2019-03-07 16:40:14, SI=1, It_no=17, Feval_no=31, FOM=0.5773279255674928
2019-03-07 16:40:16, SI=1, It_no=18, Feval_no=32, FOM=0.5708996179334456
2019-03-07 16:40:17, SI=1, It_no=19, Feval_no=33, FOM=0.5784949826858579
2019-03-07 16:40:19, SI=1, It_no=19, Feval_no=34, FOM=0.5705967387650038
2019-03-07 16:40:21, SI=1, It_no=20, Feval_no=35, FOM=0.5667880722184443
2019-03-07 16:40:22, SI=1, It_no=20, Feval_no=36, FOM=0.5788359121789838
2019-03-07 16:40:24, SI=1, It_no=21, Feval_no=37, FOM=0.5796086062208279
2019-03-07 16:40:25, SI=1, It_no=21, Feval_no=38, FOM=0.5769199426978543
2019-03-07 16:40:27, SI=1, It_no=22, Feval_no=39, FOM=0.5655147895202144
